,Course Title,Course Code,R1 Points,R2 Points ,EOS Midpoints,Course Level,HEI
385,Arts Management,DL822,254,,356,8,"Dun Laoghaire Institute of Art, Design and Technology"
386,Business Management,DL823,220,,318,8,"Dun Laoghaire Institute of Art, Design and Technology"
387,Applied Psychology,DL825,418,413,462,8,"Dun Laoghaire Institute of Art, Design and Technology"
388,Graphic Design,DL826,591,,824,8,"Dun Laoghaire Institute of Art, Design and Technology"
389,Art,DL827,574,,906,8,"Dun Laoghaire Institute of Art, Design and Technology"
390,Animation,DL832,989,,1098,8,"Dun Laoghaire Institute of Art, Design and Technology"
391,Photography and Visual Media,DL833,671,671,877,8,"Dun Laoghaire Institute of Art, Design and Technology"
392,Creative Computing,DL836,235,,339,8,"Dun Laoghaire Institute of Art, Design and Technology"
393,New Media Studies,DL837,298,293,359,8,"Dun Laoghaire Institute of Art, Design and Technology"
394,Creative Music Production,DL838,713,,979,8,"Dun Laoghaire Institute of Art, Design and Technology"
395,Interaction and User Experience Design,DL839,757,,1087,8,"Dun Laoghaire Institute of Art, Design and Technology"
396,Digital Marketing,DL840,210,,347,8,"Dun Laoghaire Institute of Art, Design and Technology"
397,English and Equality Studies,DL841,277,277,357,8,"Dun Laoghaire Institute of Art, Design and Technology"
398,Film,DL843,987,874,1000,8,"Dun Laoghaire Institute of Art, Design and Technology"
399,Television,DL844,566,,947,8,"Dun Laoghaire Institute of Art, Design and Technology"
400,Design for Film (degree options),DL845,628,,900,8,"Dun Laoghaire Institute of Art, Design and Technology"
401,Business,GC200,269,242,377,8,Griffith College
402,Accounting and Finance,GC201,260,226,270,8,Griffith College
403,Computing Science,GC230,300,289,351,8,Griffith College
404,Communications and Media Production,GC250,,,,8,Griffith College
405,Business,GC300,264,264,377,8,Griffith College
406,Accounting and Finance,GC301,,251,251,8,Griffith College
407,Business - HRM,GC302,377,377,377,8,Griffith College
408,Business (Marketing),GC307,289,270,289,8,Griffith College
409,Computing,GC335,171,171,278,7,Griffith College
410,Business,GC400,250,228,318,8,Griffith College
411,Accounting and Finance,GC401,242,242,337,8,Griffith College
412,Business (HRM),GC402,,,0,8,Griffith College
413,Law,GC403,245,242,319,8,Griffith College
414,Business (Marketing),GC407,264,264,318,8,Griffith College
415,Marketing,GC410,122,122,337,7,Griffith College
416,Business,GC411,180,180,378,7,Griffith College
417,Computing Science,GC430,251,251,325,8,Griffith College
418,Computing,GC435,108,108,349,7,Griffith College
419,Communications and Media Production,GC450,225,225,321,8,Griffith College
420,Music Production for Games (portfolio),GC460,,,0,6,Griffith College
421,Design Communication (portfolio),GC462,300,,300,8,Griffith College
422,Communications,GC465,118,118,395,7,Griffith College
423,Film and TV Production,GC466,121,121,418,7,Griffith College
424,Photographic Media,GC470,163,163,352,7,Griffith College
425,Photography,GC475,125,125,343,6,Griffith College
426,Interior Architecture (portfolio),GC489,288,274,429,8,Griffith College
427,Interior Design,GC490,137,137,359,7,Griffith College
428,Fashion Design (portfolio),GC494,351,,588,8,Griffith College
429,Fashion,GC495,110,110,398,7,Griffith College
430,Business,BY001,210,210,323,8,IBAT College Dublin
431,Business,BY002,347,171,347,7,IBAT College Dublin
432,Accounting and Finance,ID001,,,0,8,ICD Business School
433,Business Studies,ID002,,,340,8,ICD Business School
434,"First Year Art and Design (Common Entry,portfolio)",AD101,554,,604,8,National College of Art and Design
435,Graphic Design and Moving Image Design (portfolio),AD102,538,,625,8,National College of Art and Design
436,Textile and Surface Design and Jewellery and Objects (portfolio),AD103,505,,581,8,National College of Art and Design
437,"Education and Design or Fine Art (Second Level Teaching,portfolio))",AD202,591,,620,8,National College of Art and Design
438,Fine Art (portfolio),AD204,514,,583,8,National College of Art and Design
439,Fashion Design (portfolio),AD211,760,679,679,8,National College of Art and Design
440,Product Design (portfolio),AD212,413,,569,8,National College of Art and Design
441,Visual Culture,AD215,337,300,380,8,National College of Art and Design
442,Illustration (portfolio),AD217,738,,,8,National College of Art and Design
443,Interaction Design (portfolio),AD222,444,,488,8,National College of Art and Design
444,Computing (Degree Award options),NC003,271,,334,8,National College of Ireland (NCI)
445,Human Resource Management,NC005,301,,360,8,National College of Ireland (NCI)
446,Business,NC009,300,,371,8,National College of Ireland (NCI)
447,Psychology,NC010,420,,465,8,National College of Ireland (NCI)
448,Marketing Practice,NC020,270,,329,8,National College of Ireland (NCI)
449,Accounting and Finance,NC022,330,,390,8,National College of Ireland (NCI)
450,Technology Management (with specialisations),NC023,266,,356,8,National College of Ireland (NCI)
451,Early Childhood Education and Care,NC030,251,251,308,8,National College of Ireland (NCI)
452,Computing,NC102,225,,366,6,National College of Ireland (NCI)
453,Business,NC103,252,,372,6,National College of Ireland (NCI)
454,Business Computing,NC104,242,,390,6,National College of Ireland (NCI)
455,Medicine - Undergraduate Entry (HPAT required),RC001,741,740,741,8,RCSI University of Medicine & Health Sciences
456,Physiotherapy,RC004,589,589,589,8,RCSI University of Medicine & Health Sciences
457,Pharmacy,RC005,613,613,613,8,RCSI University of Medicine & Health Sciences
458,Medicine - Graduate Entry (GAMSAT required),RC101,,,66,8,RCSI University of Medicine & Health Sciences
459,Montessori Education,NM701,137,137,387,7,St Nicholas Montessori College Ireland
460,Montessori Education,NM801,262,,320,8,St Nicholas Montessori College Ireland
461,Psychology,NM802,228,,338,8,St Nicholas Montessori College Ireland
462,Electronic and Information Engineering,TU605,190,,339,6,Technological University Dublin
463,Mechanical Engineering (General Entry),TU606,192,,359,6,Technological University Dublin
464,Bar and Restaurant Management,TU641,243,,366,6,Technological University Dublin
465,Culinary Arts (Cuisine and Wellness),TU642,154,,330,6,Technological University Dublin
466,Culinary Arts (Professional Cookery Practice),TU643,242,,418,6,Technological University Dublin
467,Food Management and Entrepreneurship,TU644,250,,451,6,Technological University Dublin
468,Food Science and Management,TU645,251,,473,6,Technological University Dublin
469,Applied Biology,TU651,361,,474,6,Technological University Dublin
470,Computing,TU652,240,,391,6,Technological University Dublin
471,Pharmacy Technician Studies,TU654,350,,452,6,Technological University Dublin
472,Computing (Networking Technologies) Learn and Work,TU655,502,,551,6,Technological University Dublin
473,Business (campus options),TU670,224,,378,6,Technological University Dublin
474,Business Management,TU673,301,,495,6,Technological University Dublin
475,Business Studies,TU674,307,,484,6,Technological University Dublin
476,Marketing,TU675,301,,431,6,Technological University Dublin
477,Retail Management and Marketing,TU676,290,,386,6,Technological University Dublin
478,Automation Engineering,TU701,243,,346,7,Technological University Dublin
479,Sustainable Energy and Environmental Engineering,TU702,249,,444,7,Technological University Dublin
480,Building Engineering,TU703,273,,381,7,Technological University Dublin
481,Civil Engineering,TU704,260,,378,7,Technological University Dublin
482,Electrical and Control Engineering,TU705,272,,399,7,Technological University Dublin
483,Electrical Services Engineering,TU706,245,,327,7,Technological University Dublin
484,Engineering (Common Entry with Award options),TU708,AQA,263,384,7,Technological University Dublin
485,Engineering (General Entry),TU709,400,,531,7,Technological University Dublin
486,Mechatronic Engineering,TU711,225,,373,7,Technological University Dublin
487,Computer Engineering,TU713,222,,400,7,Technological University Dublin
488,Electronics and Communications Engineering,TU714,262,,420,7,Technological University Dublin
489,Networking Technology,TU716,249,,367,7,Technological University Dublin
490,Mechanical Engineering,TU717,301,,399,7,Technological University Dublin
491,"Design,Technology and Innovation",TU719,261,,391,7,Technological University Dublin
492,Automotive Management and Technology,TU720,232,,339,7,Technological University Dublin
493,Aviation Technology,TU721,302,,423,7,Technological University Dublin
494,Process Instrumentation and Automation Learn and Work (Test&Interview),TU722,346,346,548,7,Technological University Dublin
495,Mechanical Engineering (General Entry),TU725,222,,398,7,Technological University Dublin
496,Electronic Engineering (General Entry),TU726,215,,349,7,Technological University Dublin
497,"Auctioneering, Valuation and Estate Agency",TU731,330,,419,7,Technological University Dublin
498,Sports Management and Coaching,TU735,270,,377,7,Technological University Dublin
499,Sports Science and Health,TU736,484,,532,7,Technological University Dublin
500,Sports Studies,TU737,250,,378,7,Technological University Dublin
501,Baking and Pastry Arts Management,TU741,231,,456,7,Technological University Dublin
502,Culinary Arts,TU742,158,,328,7,Technological University Dublin
503,Hospitality Management,TU745,252,,368,7,Technological University Dublin
504,International Hospitality and Tourism Management,TU746,157,144,347,7,Technological University Dublin
505,Tourism Management,TU747,263,,367,7,Technological University Dublin
506,Biosciences,TU751,418,,532,7,Technological University Dublin
507,DNA and Forensic Analysis,TU752,500,442,500,7,Technological University Dublin
508,Industrial and Environmental Physics,TU754,273,,476,7,Technological University Dublin
509,Science (General Entry),TU755,361,,523,7,Technological University Dublin
510,Computing,TU756,201,,388,7,Technological University Dublin
511,Computing (Information Technology),TU757,227,,388,7,Technological University Dublin
512,Digital Forensics and Cyber Security,TU758,223,,356,7,Technological University Dublin
513,Bioanalysis,TU760,360,,426,7,Technological University Dublin
514,Ophthalmic Dispensing,TU761,316,,462,7,Technological University Dublin
515,Medicinal Chemistry and Pharmaceutical Sciences,TU762,320,,520,7,Technological University Dublin
516,Pharmaceutical Science,TU763,391,,473,7,Technological University Dublin
517,Business (options),TU772,AQA,250,408,7,Technological University Dublin
518,Advertising and Marketing Communications,TU780,201,190,371,7,Technological University Dublin
519,Digital Marketing,TU781,223,,339,7,Technological University Dublin
520,Digital Marketing,TU782,200,185,340,7,Technological University Dublin
521,Business (options),TU787,200,180,429,7,Technological University Dublin
522,Accounting and Finance (campus options),TU788,231,,462,7,Technological University Dublin
523,Early Childhood Care and Education (campus options),TU790,223,,414,7,Technological University Dublin
524,Applied Social Studies in Social Care,TU791,320,,399,7,Technological University Dublin
525,Community and Youth Development,TU792,AQA,242,310,7,Technological University Dublin
526,Visual Merchandising and Display,TU795,618,,900,7,Technological University Dublin
527,Creative Digital Media,TU796,224,,388,7,Technological University Dublin
528,Sustainable Energy Engineering,TU801,235,,329,8,Technological University Dublin
529,Electrical Services and Energy Management,TU802,309,,359,8,Technological University Dublin
530,Engineering (Common Entry with Award options),TU804,270,,361,8,Technological University Dublin
531,Engineering (General Entry),TU805,466,465,499,8,Technological University Dublin
532,Computer Engineering in Mobile Systems,TU807,274,,339,8,Technological University Dublin
533,Mechatronic Engineering,TU810,271,,399,8,Technological University Dublin
534,Product Design,TU811,440,434,479,8,Technological University Dublin
535,"Design,Technology and Innovation",TU812,278,,335,8,Technological University Dublin
536,Sustainable Transport Management,TU814,253,253,349,8,Technological University Dublin
537,Mechanical Engineering (General Entry),TU828,300,,386,8,Technological University Dublin
538,Electronic Engineering (General Entry),TU829,248,248,354,8,Technological University Dublin
539,Architectural Technology,TU831,423,,455,8,Technological University Dublin
540,Architecture (Suitability Test and Interview),TU832,644,638,682,8,Technological University Dublin
541,Construction Management,TU833,396,,429,8,Technological University Dublin
542,Geographic Science,TU834,315,,370,8,Technological University Dublin
543,Planning and Environmental Management,TU835,330,,393,8,Technological University Dublin
544,Property Economics (Valuation Surveying),TU836,411,,444,8,Technological University Dublin
545,Quantity Surveying and Construction Economics,TU837,413,,455,8,Technological University Dublin
546,Sustainable Timber Technology,TU838,307,271,385,8,Technological University Dublin
547,"Analytical Chemistry (Environmental, Forensic and Pharmaceutical)",TU851,400,,464,8,Technological University Dublin
548,Chemical Sciences with Medicinal Chemistry,TU852,477,,499,8,Technological University Dublin
549,Science (General Entry),TU854,510,,532,8,Technological University Dublin
550,Science with Nanotechnology,TU855,322,,382,8,Technological University Dublin
551,Computer Science,TU856,499,,531,8,Technological University Dublin
552,Computer Science (Infrastructure),TU857,403,,443,8,Technological University Dublin
553,Computer Science (International),TU858,395,,444,8,Technological University Dublin
554,Computing,TU859,251,,336,8,Technological University Dublin
555,Computing (Information Technology),TU860,270,,356,8,Technological University Dublin
556,Computing with Language (French/German/Spanish),TU861,235,235,370,8,Technological University Dublin
557,Computing with Artificial Intelligence Machine Learning,TU862,262,,310,8,Technological University Dublin
558,Digital Forensics and Cyber Security,TU863,282,,346,8,Technological University Dublin
559,DNA and Forensic Analysis,TU864,500,441,465,8,Technological University Dublin
560,Cloud Computing,TU865,235,,308,8,Technological University Dublin
561,Biomedical and Molecular Diagnostics,TU866,522,,540,8,Technological University Dublin
562,Biomedical Science,TU867,576,566,578,8,Technological University Dublin
563,Clinical Measurement Science,TU868,542,,554,8,Technological University Dublin
564,Environmental Health,TU869,387,,434,8,Technological University Dublin
565,Human Nutrition and Dietetics,TU870,601,,613,8,Technological University Dublin
566,Optometry,TU871,532,,544,8,Technological University Dublin
567,Public Health Nutrition,TU872,487,,521,8,Technological University Dublin
568,Mathematical Sciences,TU874,294,294,434,8,Technological University Dublin
569,Pharmaceutical Healthcare,TU875,451,,477,8,Technological University Dublin
570,Pharmaceutical Science,TU876,445,,474,8,Technological University Dublin
571,Physics Technology,TU877,314,314,422,8,Technological University Dublin
572,Physics with Energy and Environment,TU878,339,,408,8,Technological University Dublin
573,Physics with Medical Physics and Bioengineering,TU879,346,,430,8,Technological University Dublin
574,Physics with Data Science,TU880,412,,532,8,Technological University Dublin
575,Food Innovation,TU881,309,,423,8,Technological University Dublin
576,Nutraceuticals in Health and Nutrition,TU882,380,,447,8,Technological University Dublin
577,Business (options),TU902,270,,327,8,Technological University Dublin
578,Business and Management,TU903,477,,509,8,Technological University Dublin
579,Business and Law,TU904,462,,486,8,Technological University Dublin
580,Economics and Finance,TU905,460,,488,8,Technological University Dublin
581,Human Resource Management,TU906,386,377,412,8,Technological University Dublin
582,Logistics and Supply Chain Management,TU907,300,,367,8,Technological University Dublin
583,Accounting,TU910,420,,462,8,Technological University Dublin
584,Business Analytics,TU912,331,311,367,8,Technological University Dublin
585,Business Computing,TU914,322,,377,8,Technological University Dublin
586,Law (LLB ) with a Language,TU917,356,,451,8,Technological University Dublin
587,Law (LLB),TU918,463,,499,8,Technological University Dublin
588,Advertising and Marketing Communications,TU919,219,,327,8,Technological University Dublin
589,Digital Marketing,TU920,270,,339,8,Technological University Dublin
590,Digital Marketing Technologies,TU921,230,,298,8,Technological University Dublin
591,Marketing,TU922,412,,446,8,Technological University Dublin
592,E-Commerce in Retailing,TU924,307,,380,8,Technological University Dublin
593,Retail and Services Management,TU925,307,,368,8,Technological University Dublin
594,Business (options),TU932,211,,337,8,Technological University Dublin
595,Accounting and Finance (campus options),TU933,251,,346,8,Technological University Dublin
596,Sports Management and Coaching,TU935,300,,368,8,Technological University Dublin
597,Sports Science and Health,TU936,484,,498,8,Technological University Dublin
598,Botanical Cuisine,TU941,311,,380,8,Technological University Dublin
599,Culinary Arts,TU942,252,,348,8,Technological University Dublin
600,Culinary Entrepreneurship,TU943,261,,387,8,Technological University Dublin
601,Culinary Science,TU944,336,,393,8,Technological University Dublin
602,International Hospitality and Tourism Management,TU951,244,,316,8,Technological University Dublin
603,International Hospitality Management,TU952,309,,398,8,Technological University Dublin
604,Tourism and Digital Marketing,TU953,308,,366,8,Technological University Dublin
605,Event Management,TU954,326,,402,8,Technological University Dublin
606,Sports and Leisure Management,TU955,275,,349,8,Technological University Dublin
607,Commercial Modern Music (BIMM - assessment/audition),TU961,536,536,881,8,Technological University Dublin
608,"Drama (Performance, audition)",TU962,448,,551,8,Technological University Dublin
609,Music (audition),TU963,364,,561,8,Technological University Dublin
610,International Business and Languages,TU965,357,,442,8,Technological University Dublin
611,Languages and International Tourism,TU967,298,,390,8,Technological University Dublin
612,Design - Visual Communication (portfolio),TU973,700,,953,8,Technological University Dublin
613,Fine Art (portfolio),TU974,549,,704,8,Technological University Dublin
614,Interior Design (portfolio),TU975,544,,919,8,Technological University Dublin
615,Photography (portfolio),TU976,700,,952,8,Technological University Dublin
616,Creative Industries and Visual Culture,TU978,299,,440,8,Technological University Dublin
617,Creative Digital Media,TU981,280,,347,8,Technological University Dublin
618,Media Production and Digital Arts,TU982,369,,412,8,Technological University Dublin
619,Film and Broadcasting,TU983,462,453,496,8,Technological University Dublin
620,Game Design,TU984,414,,455,8,Technological University Dublin
621,Journalism,TU985,367,,409,8,Technological University Dublin
622,Early Childhood Care and Education (campus options),TU989,270,,337,8,Technological University Dublin
623,Applied Social Studies in Social Care,TU991,326,,356,8,Technological University Dublin
624,Community Development and Youth Work,TU992,251,,311,8,Technological University Dublin
625,Early Childhood Education,TU995,378,,412,8,Technological University Dublin
626,Social Care,TU996,407,,440,8,Technological University Dublin
627,Applied Social Care,TU997,320,,368,8,Technological University Dublin
628,Music,TR002,508,477,513,8,Trinity College Dublin
629,History,TR003,552,543,558,8,Trinity College Dublin
630,Law,TR004,590,589,601,8,Trinity College Dublin
631,Philosophy,TR005,510,497,510,8,Trinity College Dublin
632,Psychology,TR006,601,590,602,8,Trinity College Dublin
633,Clinical Speech and Language Studies,TR007,564,,577,8,Trinity College Dublin
634,Music Education,TR009,496,486,530,8,Trinity College Dublin
635,"Philosophy, Political Science, Economics and Sociology",TR015,613,613,625,8,Trinity College Dublin
636,Deaf Studies,TR016,389,,440,8,Trinity College Dublin
637,Law and French,TR018,602,602,613,8,Trinity College Dublin
638,Law and German,TR019,577,567,588,8,Trinity College Dublin
639,"Classics, Ancient History and Archaeology",TR021,467,462,501,8,Trinity College Dublin
640,Early and Modern Irish,TR022,377,,473,8,Trinity College Dublin
641,English Studies,TR023,546,541,555,8,Trinity College Dublin
642,European Studies,TR024,566,,589,8,Trinity College Dublin
643,Drama and Theatre Studies,TR025,543,519,552,8,Trinity College Dublin
644,Ancient and Medieval History and Culture,TR028,498,463,474,8,Trinity College Dublin
645,Mathematics,TR031,579,578,613,8,Trinity College Dublin
646,Engineering,TR032,556,555,581,8,Trinity College Dublin
647,Computer Science,TR033,566,549,578,8,Trinity College Dublin
648,Management Science and Information Systems Studies,TR034,625,625,625,8,Trinity College Dublin
649,Theoretical Physics,TR035,590,589,613,8,Trinity College Dublin
650,Engineering with Management,TR038,589,589,613,8,Trinity College Dublin
651,"Computer Science, Linguistics and a Language",TR039,443,,531,8,Trinity College Dublin
652,Middle Eastern and European Languages and Cultures,TR040,520,499,531,8,Trinity College Dublin
653,Religion,TR041,417,,476,8,Trinity College Dublin
654,Film,TR042,531,522,532,8,Trinity College Dublin
655,History of Art and Architecture,TR043,498,486,519,8,Trinity College Dublin
656,Medicine (HPAT required),TR051,743,743,751,8,Trinity College Dublin
657,Dental Science,TR052,625,625,625,8,Trinity College Dublin
658,Physiotherapy,TR053,590,,601,8,Trinity College Dublin
659,Occupational Therapy,TR054,578,577,589,8,Trinity College Dublin
660,Radiation Therapy,TR055,577,566,577,8,Trinity College Dublin
661,Human Health and Disease,TR056,601,,613,8,Trinity College Dublin
662,Biological and Biomedical Sciences,TR060,578,577,590,8,Trinity College Dublin
663,Chemical Sciences,TR061,558,554,564,8,Trinity College Dublin
664,Geography and Geoscience,TR062,495,,531,8,Trinity College Dublin
665,Physical Sciences,TR063,554,543,566,8,Trinity College Dublin
666,Environmental Science and Engineering,TR064,555,,578,8,Trinity College Dublin
667,Pharmacy,TR072,613,613,625,8,Trinity College Dublin
668,Global Business,TR080,613,,625,8,Trinity College Dublin
669,"Business, Economic and Social Studies (BESS)",TR081,577,567,589,8,Trinity College Dublin
670,Social Studies (Social Work),TR084,497,487,508,8,Trinity College Dublin
671,Business Studies and French,TR085,564,,577,8,Trinity College Dublin
672,Business Studies and German,TR086,530,,533,8,Trinity College Dublin
673,Business Studies and Russian,TR087,487,,521,8,Trinity College Dublin
674,Business Studies and Polish,TR089,391,,432,8,Trinity College Dublin
675,Business Studies and Spanish,TR090,566,,589,8,Trinity College Dublin
676,General Nursing (Meath and St James`s),TR091,462,456,487,8,Trinity College Dublin
677,General Nursing (Adelaide School of Nursing),TR093,473,,484,8,Trinity College Dublin
678,Mental Health Nursing,TR095,442,,455,8,Trinity College Dublin
679,Intellectual Disability Nursing,TR097,412,410,419,8,Trinity College Dublin
680,Ancient History and Archaeology/Geography,TR111,496,,530,8,Trinity College Dublin
681,Ancient History and Archaeology/History,TR112,577,,577,8,Trinity College Dublin
682,Ancient History and Archaeology/History of Art and Architecture,TR113,528,,541,8,Trinity College Dublin
683,Ancient History and Archaeology/Modern Language,TR114,507,,512,8,Trinity College Dublin
684,Ancient History and Archaeology/Religion,TR117,494,,625,8,Trinity College Dublin
685,Classical Civilisation/English Literature,TR166,552,,567,8,Trinity College Dublin
686,Classical Civilisation/History of Art and Architecture,TR173,420,,487,8,Trinity College Dublin
687,Classical Civilisation/Modern Language,TR177,484,,543,8,Trinity College Dublin
688,Classical Civilisation/Philosophy,TR179,508,,522,8,Trinity College Dublin
689,Computer Science/Business Studies,TR188,584,,602,8,Trinity College Dublin
690,Economics/Geography,TR198,968,956,,8,Trinity College Dublin
691,Economics/History,TR202,601,,625,8,Trinity College Dublin
692,Economics/Mathematics,TR207,613,,625,8,Trinity College Dublin
693,Economics/Modern Language,TR208,589,,611,8,Trinity College Dublin
694,Economics/Philosophy,TR209,588,,611,8,Trinity College Dublin
695,Economics/Sociology,TR212,589,,606,8,Trinity College Dublin
696,Social Policy/Economics,TR214,611,,611,8,Trinity College Dublin
697,Classical Languages/English Literature,TR228,555,,583,8,Trinity College Dublin
698,Classical Languages/Linguistics,TR230,501,,501,8,Trinity College Dublin
699,Classical Languages/History of Art and Architecture,TR231,613,,613,8,Trinity College Dublin
700,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,583,,583,8,Trinity College Dublin
701,Classical Languages/Modern Language,TR239,543,,558,8,Trinity College Dublin
702,Computer Science/Geography,TR240,482,,541,8,Trinity College Dublin
703,Computer Science/Linguistics,TR241,495,,532,8,Trinity College Dublin
704,English Literature/History,TR262,576,,600,8,Trinity College Dublin
705,English Literature/History of Art and Architecture,TR263,571,,576,8,Trinity College Dublin
706,English Literature/Philosophy,TR269,555,,584,8,Trinity College Dublin
707,English Literature/Sociology,TR272,553,,567,8,Trinity College Dublin
708,English Literature/Drama Studies,TR276,555,,589,8,Trinity College Dublin
709,English Literature/Modern Language,TR277,554,,586,8,Trinity College Dublin
710,Film/Drama Studies,TR311,578,,578,8,Trinity College Dublin
711,Film/English Literature,TR312,576,,590,8,Trinity College Dublin
712,Film/Music,TR320,584,,601,8,Trinity College Dublin
713,Geography/History,TR322,578,,613,8,Trinity College Dublin
714,Drama Studies/Modern Language,TR323,495,,589,8,Trinity College Dublin
715,Film/Modern Language,TR324,577,,589,8,Trinity College Dublin
716,Film/History,TR325,578,,613,8,Trinity College Dublin
717,Geography/Modern Language,TR326,451,,500,8,Trinity College Dublin
718,Political Science/Geography,TR328,564,,590,8,Trinity College Dublin
719,Geography/Sociology,TR332,522,,554,8,Trinity College Dublin
720,History/History of Art and Architecture,TR443,581,,613,8,Trinity College Dublin
721,History/Modern Language,TR447,576,,576,8,Trinity College Dublin
722,History/Philosophy,TR449,579,,590,8,Trinity College Dublin
723,History/Religion,TR454,,,,8,Trinity College Dublin
724,History of Art and Architecture/Modern Language,TR455,451,,512,8,Trinity College Dublin
725,History/Political Science,TR457,576,,590,8,Trinity College Dublin
726,History of Art and Architecture/Philosophy,TR479,509,,531,8,Trinity College Dublin
727,Sociology/History of Art and Architecture,TR482,522,,541,8,Trinity College Dublin
728,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,543,,543,8,Trinity College Dublin
729,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,544,,544,8,Trinity College Dublin
730,"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,576,,580,8,Trinity College Dublin
731,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,590,,590,8,Trinity College Dublin
732,"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,,,,8,Trinity College Dublin
733,"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,999,949,,8,Trinity College Dublin
734,Business Studies/Law,TR580,625,,625,8,Trinity College Dublin
735,History/Law,TR581,625,,625,8,Trinity College Dublin
736,Political Science/Law,TR582,625,,625,8,Trinity College Dublin
737,"Middle Eastern,Jewish and Islamic Civilisations/Linguistics",TR587,,,,8,Trinity College Dublin
738,Linguistics/Modern Language,TR588,456,,519,8,Trinity College Dublin
739,Linguistics/Philosophy,TR589,520,,553,8,Trinity College Dublin
740,"Sociology/Middle Eastern,Jewish and Islamic Civilisations",TR592,531,,539,8,Trinity College Dublin
741,Mathematics/Modern Language,TR597,613,,613,8,Trinity College Dublin
742,Mathematics/Music,TR598,625,,625,8,Trinity College Dublin
743,Mathematics/Philosophy,TR599,625,,625,8,Trinity College Dublin
744,Music/Philosophy,TR629,533,,533,8,Trinity College Dublin
745,Music/Drama Studies,TR635,532,,532,8,Trinity College Dublin
746,Music/Modern Language,TR636,530,,555,8,Trinity College Dublin
747,Music/Religion,TR638,,,,8,Trinity College Dublin
748,Philosophy/Modern Language,TR639,520,,540,8,Trinity College Dublin
749,Philosophy/Sociology,TR662,531,,542,8,Trinity College Dublin
750,Religion/Classical Civilisation,TR663,418,,442,8,Trinity College Dublin
751,Religion/English Literature,TR664,968,,,8,Trinity College Dublin
752,Religion/History of Art and Architecture,TR665,369,,494,8,Trinity College Dublin
753,Religion/Modern Language,TR666,,,,8,Trinity College Dublin
754,French/Modern Language,TR667,466,,508,8,Trinity College Dublin
755,German/Modern Language,TR668,441,,521,8,Trinity College Dublin
756,Irish/Modern Language,TR669,464,,533,8,Trinity College Dublin
757,Italian/Modern Language,TR670,462,,498,8,Trinity College Dublin
758,Russian/Modern Language,TR671,501,,525,8,Trinity College Dublin
759,Spanish/Modern Language,TR672,486,,552,8,Trinity College Dublin
760,Sociology/Modern Language,TR756,522,,545,8,Trinity College Dublin
761,Modern Language/Social Policy,TR757,555,,566,8,Trinity College Dublin
762,Social Policy/Political Science,TR758,566,,597,8,Trinity College Dublin
763,Sociology/Social Policy,TR759,554,,579,8,Trinity College Dublin
764,Dental Nursing,TR801,490,485,498,7,Trinity College Dublin
765,Dental Hygiene,TR802,577,565,613,7,Trinity College Dublin
766,Dental Technology,TR803,543,498,509,7,Trinity College Dublin
767,Children`s and General Nursing (Integrated),TR911,531,,544,8,Trinity College Dublin
768,Midwifery,TR913,521,,543,8,Trinity College Dublin
769,Architecture,DN100,555,,577,8,University College Dublin (NUI)
770,Landscape Architecture,DN120,463,435,484,8,University College Dublin (NUI)
771,City Planning and Environmental Policy,DN130,445,424,474,8,University College Dublin (NUI)
772,Engineering (Common Entry),DN150,565,,601,8,University College Dublin (NUI)
773,Science (options),DN200,577,567,589,8,University College Dublin (NUI)
774,Computer Science (Common Entry),DN201,554,549,558,8,University College Dublin (NUI)
775,Actuarial and Financial Studies,DN230,613,613,625,8,University College Dublin (NUI)
776,Sustainability,DN240,510,,532,8,University College Dublin (NUI)
777,Agricultural Science (options),DN250,454,444,489,8,University College Dublin (NUI)
778,Food Science,DN261,531,,544,8,University College Dublin (NUI)
779,Human Nutrition,DN262,566,,577,8,University College Dublin (NUI)
780,Veterinary Medicine - Undergraduate Entry,DN300,601,,613,8,University College Dublin (NUI)
781,Veterinary Medicine - Graduate Entry (GAMSAT required),DN301,#,,,8,University College Dublin (NUI)
782,Veterinary Nursing,DN310,521,509,522,8,University College Dublin (NUI)
783,Medicine - Undergraduate Entry (HPAT required),DN400,743,,751,8,University College Dublin (NUI)
784,Medicine - Graduate Entry (GAMSAT required),DN401,61,,63,8,University College Dublin (NUI)
785,Radiography,DN410,566,566,578,8,University College Dublin (NUI)
786,Radiography - Graduate Entry,DN411,#,,,8,University College Dublin (NUI)
787,Physiotherapy,DN420,601,601,613,8,University College Dublin (NUI)
788,Health and Performance Science,DN425,544,543,555,8,University College Dublin (NUI)
789,Sport and Exercise Management,DN430,484,476,499,8,University College Dublin (NUI)
790,"Biomedical, Health and Life Sciences",DN440,613,613,618,8,University College Dublin (NUI)
791,General Nursing,DN450,462,,490,8,University College Dublin (NUI)
792,Children`s and General Nursing (Integrated),DN451,533,,554,8,University College Dublin (NUI)
